sentence1,sentence2,label,preds,truth
bicycles stationed while a group of people socialize .,People get together near a stand of bicycles .,entailment,1,1
Man in overalls with two horses .,a man in overalls with two horses,entailment,1,1
Man observes a wavelength given off by an electronic device .,The man is examining what wavelength is given off by the device .,entailment,1,1
Two men are listening to music through headphones .,Two men listen to music .,entailment,1,1
A group of numbered participants walk down the street together .,Participants wait for the beginning of the walkathon .,neutral,2,2
A man wearing glasses is vacuuming an architects model .,There is a man vaucuming,entailment,1,1
A little boy watches a Ferris Wheel in motion .,A boy is waiting in line for the Ferris Wheel .,neutral,2,2
A man in a dark floral shirt and black jeans walks buy a brightly colored wall painted with a woman with bright green eyes .,A man walks past a newly painted mural of a woman .,entailment,1,1
Two men help an injured player on the field .,Some men help an injured player on the field .,entailment,1,1
A woman in a light blue jacket is riding a bike .,A woman in a jacket riding a bike to work .,neutral,2,2
A red jeep hangs from the edge of a rocky cliff as a girl looks on .,The vehicle is red .,entailment,1,1
"Two kids on a boat , one with a paddle , and the other on the edge wearing a life vest .",A kid is wearing a life vest .,entailment,1,1
"A woman is sitting in a street market stand where there are various items for sale , such as fish .",The woman is in a street market .,entailment,1,1
A group of people are sitting under umbrellas on the beach .,It is a saturday,neutral,2,2
A boy riding on a carnival ride turns around for a photograph .,A human riding,entailment,1,1
man grilling fish on barbecue,The man likes to eat fish .,neutral,2,2
"A lone , 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room .",The couch is pointed toward the front .,contradiction,0,0
A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,a chef speaks into a microphone near a bowl,entailment,1,1
Many people are smiling as they gather in a room .,People are indoors .,entailment,1,1
"Three cheerful ladies sitting at a table doing a yarn work in a room , at the background are similar groups of ladies doing similar work .",The ladies are discussing what they are going to do tonight .,neutral,2,2
"A firefighter , in full uniform , looks off into the distance .",The firefighter is going to put out a fire .,neutral,2,2
A man and women walk atop a hill .,The man and woman are sitting .,contradiction,0,0
A small dog wearing a denim miniskirt .,A dog is having all its hair shaved off .,contradiction,0,0
Golfer celebrates after a shot he has made .,A man is washing his hair .,contradiction,0,0
Several young African Americans giving an outdoor dance performance,A woman drinks poison .,contradiction,0,0
"Six men , all wearing identifying number plaques , are participating in an outdoor race .",a number of guys wearing numbers race outside,entailment,1,1
A man in a business suit crosses the street .,A man is wearing a white robe around his house .,contradiction,0,0
A boy in sandals is looking at a camera in a busy street .,A boy is looking at electronics near a road,entailment,1,1
People standing around a busy outdoor market .,People are outside .,entailment,1,1
"A woman seated indoors wearing glasses , an orange shirt , jeans and sandals is eating from a container in her hand .",A woman waits for her husband to come home for dinner .,neutral,2,2
A woman in a long-sleeved shirt checks her phone as a man in a leather jacket passes behind her .,The man is passing by on his way to the store .,neutral,2,2
A group of Japanese women wearing matching outfits walking across a crosswalk while passersby stare .,Women are wearing matching outfits .,entailment,1,1
A person in a red hat with a huge backpack going hiking .,The person is in a hat has a big bag while walking on a tough terrain .,neutral,2,2
Various people shop at a street clothing sale .,Various cats shop at a street clothing sale .,contradiction,0,0
"A small dog runs after a red ball , though a leafy outdoor area .",a dog runs around outside .,entailment,1,1
"An Asian man in colorful robes holds a bell and leans toward a small table , with Buddhist or Hindu decorations on the table and the walls .",An Asian man in colorful light robes holds a bell .,entailment,1,1
A little boy in green is kicking a soccer ball and 6 boys in referee shirts are following him .,There are many children around .,entailment,1,1
A woman is sitting in a man 's lap in a brown armchair .,The woman and man are resting together in an armchair .,entailment,1,1
Two men are listening to music through headphones .,Two men play with yo-yos .,contradiction,0,0
A ceremony with one man speaking and another man adjusting the robes on other person whose faces is partially covered being held in a mosque with many observers .,Everyone is silent .,contradiction,0,0
This wildly dressed couple are walking past a poster .,The couple are normally dressed .,contradiction,0,0
"A man holds a baby , which is chewing on eyeglasses .",The baby is sucking on a pacifier,contradiction,0,0
two golden dogs are chewing a white cushion on a wooden patio .,"Two golden dogs chewing on a cushion , waiting for their master to come home .",neutral,2,2
"Two men , one kneeling and one squatting , are posing in front of a clear wall with shops in the background .",There are two men posing in front of a transparent wall that you can see shops behind .,entailment,1,1
A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him .,A gentleman in a striped shirt not gesturing,contradiction,0,0
Two children are sleeping while someone is fingering through a book of music .,The children are at a birthday party .,contradiction,0,0
One boy is driving a play tractor while the other boy jumps off the back of the play tractor .,There is only one boy present .,contradiction,0,0
Two girls talk at an ice skating rink .,Two girls are near the ice .,entailment,1,1
A boy in a baseball cap jumps over a flight of stairs .,A guy swimming in the pool .,contradiction,0,0
"Bald man in white and black shorts , punching man with black hair , and red , orange and blue shorts .",The men are fighting over a girl .,neutral,2,2
Two women in bathing suits climb rock piles by the ocean .,Women are trying to show off for their spouses .,neutral,2,2
A man does a jump trick on a bike .,The man is doing a bike trick .,entailment,1,1
A snowboarder leaps through the air against a dark background .,A man is eating icecream .,contradiction,0,0
A child dressed in blue jeans with rolled cuffs and a pink hoodie waits outdoors at the foot of the stairs with an axe .,A child waits by some stairs .,entailment,1,1
A nurse examines equipment in the operating room .,A nurse at work .,entailment,1,1
A snowboarder in a white coat in the air after a jump .,A snowboarder is in the air .,entailment,1,1
A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on .,A person in a vest,entailment,1,1
A man and woman are sitting at a restaurant table holding hands .,a man and a woman are celebrating a birthday,neutral,2,2
"People sitting down , walking around and , taking pictures outside of a building .",The people are eating in a cafe .,contradiction,0,0
A skier is jumping in the air over a snowfield near a mountain range .,A skier performs a competitive technical jump during a competition .,neutral,2,2
Women standing at a podium with a crowd and building in the background .,woman stands at podium,entailment,1,1
An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti .,a person wears a backpack,entailment,1,1
Very large group of old people riding in boats down a river .,A bunch of older people enjoy tea time .,contradiction,0,0
Young man running towards a tennis court while another is waiting in the other side of the net .,A young man is running .,entailment,1,1
A waitress is serving customers at a restaurant .,The waitress is sitting in a chair ignoring the customers around her .,contradiction,0,0
Four guys with guns and army gear .,The four guys are playing hopscotch .,contradiction,0,0
An extremely wet woman is wading in front of a waterfall .,A woman is sitting in the desert with a flat tire .,contradiction,0,0
A black dog running through the forest .,A dog playing outside .,entailment,1,1
A man is doing a handstand in a park on a sunny day .,A sad man is doing a handstand in a park on a sunny day .,neutral,2,2
The boy wearing the blue hooded top is holding a baby goat in his arms .,A boy ran from a goat .,contradiction,0,0
A team of people on a bike race .,The people are riding bikes .,entailment,1,1
A person in gray snowboarding down a hill .,There is snow on the hill .,entailment,1,1
a group of four people conversing next to a bus,A woman mounts a motorcycle and starts the engine .,contradiction,0,0
This lady had a lot of freckles .,There is a woman .,entailment,1,1
A kid in a red and black coat is laying on his back in the snow with his arm in the air and a red sled is next to him .,The kid is on a sugar high .,contradiction,0,0
A man and a female doing some type of martial arts .,A master is training their pupil in tae kwon do .,neutral,2,2
A child slides down a colorful slide while another child watches,Two children chicken fight on the monkeybars .,contradiction,0,0
An old woman in a green and blue plaid shirt is standing on a crowded sidewalk smiling .,A woman watching a street performer play guitar .,neutral,2,2
Three women in festive dresses are dancing in a large city street while a large crowd is behind them holding up a banner .,Three women dance in front of a large crowd,entailment,1,1
A woman at a campground .,A tree eating a taco .,contradiction,0,0
A skier is jumping in the air over a snowfield near a mountain range .,A man drives a car to work .,contradiction,0,0
A group of people sit on benches at a park outside a building .,The people wait for the bus to come .,neutral,2,2
Two dogs play,The dogs are friends .,neutral,2,2
A live band on a lawn jamming out .,A live band on a lawn jamming out for the holiday crowd .,neutral,2,2
A woman prepares to strike a volleyball .,The woman is shooting a basket through the hoop .,contradiction,0,0
Man laying on a platform outside on some rocks .,Man lays on something .,entailment,1,1
Two boys standing on top of a diving platform and one captured midair .,Two boys standing on top of a spaceship,contradiction,0,0
A girl in a red and white uniform tagging out a girl in a black uniform and helmet during a competitive game of softball .,Two girls are playing softball .,entailment,1,1
Four people wearing street clothes work on the scalp of a woman in an improvised medical treatment .,Four people are working on a woman 's scalp .,entailment,1,1
A woman swinging a tennis racket on an outdoor court .,A woman is playing basketball at the park .,contradiction,0,0
Scientists sit in a laboratory in sterile clothing while looking at microscopes .,Scientists are investigating animal slides in a microscope,neutral,2,2
Two power walkers walking beside one another in a race .,Two people driving cars,contradiction,0,0
Two little kids laugh on a blue swing .,Two children are playing on the swings .,entailment,1,1
"Two women both in sandals , one in a green hat is tying the other woman 's dress strap .",Two men are getting dressed .,contradiction,0,0
"Two brown and white dogs , one jumping over a log while the one behind runs through the grass .",The dogs are laying on a blanket .,contradiction,0,0
A woman is holding a dog on a leash in front of a small pier .,The woman holds the leash to prevent the little dog chasing the cat,neutral,2,2
An older gentleman speaking at a podium .,The college dean giving the graduation speech,neutral,2,2
An elder bearded man having a rest in a dilapidated building .,An old bearded man is in an old building .,entailment,1,1
"A lone red , white , and black race car is being driven by a single driver on a racetrack .",car parked in the ground,contradiction,0,0
A man bakes in a kitchen while wearing gloves and a hat .,The man is baking a cake .,neutral,2,2
"An older man sitting on a bench , on the sidewalk , reading a book .",A young lady stands at a bus station .,contradiction,0,0
A man dressed all in white throws the first pitch at a baseball game .,A man pitches at a baseball game .,entailment,1,1
"Dozens of street performers in fuchsia , red , yellow and black outfits are dancing and singing along a city street .",A group of silent mummers were performing in the park .,contradiction,0,0
An Asian child sleeping in a grocery cart in a grocery store .,The child is not at home .,entailment,1,1
Trying very hard not to blend any of the yellow paint into the white .,Someone is baking a cake .,contradiction,0,0
"A woman in a blue shirt , white apron and yellow kerchief is placing an ingredient from a glass jar in to her dish .",A woman wearing an apron is preparing a meal .,entailment,1,1
Football players playing in mud .,Football players are playing chess .,contradiction,0,0
A small child outside in front of a large dirt pile .,The child is indoors .,contradiction,0,0
A group of numbered participants walk down the street together .,A man cooks chili .,contradiction,0,0
"Two hikers crossing a snowy field , with mountainous terrain behind them .",Two hikers are returning to base camp .,neutral,2,2
An african american woman with 2 young girls .,There is a mother with her daughters .,neutral,2,2
A man is singing on stage with his fingers in a stuffed bear 's nose .,A man on stage singing accompanied by a stuffed bear is a ventriloquist .,neutral,2,2
A woman in a green skirt and white tank top singing into a microphone .,A man sings .,contradiction,0,0
A young woman is singing into a microphone .,The woman is singing .,entailment,1,1
"Two basketball players in black and white outfits are standing on a basketball court , talking .",The two basketball players are conversating .,entailment,1,1
A man and woman dance together .,A man and woman dance .,entailment,1,1
A man in a striped shirt and lady in a black hat are watching a young band perform on stage .,A lady has a white hat .,contradiction,0,0
A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed .,A young woman is holding a newborn .,entailment,1,1
A man inspects the uniform of a figure in some East Asian country .,Someone is wearing a uniform,entailment,1,1
"A smiling young girl with blond-hair , blue eyes , and a pink shirt , is holding a yellow flower towards the viewer outside .",A not smiling young girl with blond-hair,contradiction,0,0
Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white .,three women wear belly dancing costumes,entailment,1,1
A woman stands at a podium with a slide show behind her .,A woman is standing at a podium .,entailment,1,1
Speakers in a room full of people sitting in chairs .,The speakers are playing propaganda messages while driving down a war torn street .,contradiction,0,0
Man working behind a watch repair booth on the street .,A man is painting the outside of a watch repair booth .,neutral,2,2
A woman sits in a chair under a tree and plays an acoustic guitar .,A woman is playing a country song on her guitar while her husband in the distance listens .,neutral,2,2
a man with a cigarette in hand is looking at a car in front of him .,Man looks at car .,entailment,1,1
Two people are walking down an isolated road .,Two humans are walking toward their house .,neutral,2,2
A woman in a yellow shirt seated at a table .,A person is waiting at a table .,entailment,1,1
A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street .,a man carries the 2012 olympic torch while being followed by a car,entailment,1,1
Two girls play with origami .,The girls make paper cranes,neutral,2,2
"A group of kids listening to their band instructor , and reading music off their papers .",There is a group of kids .,entailment,1,1
Three dogs drinking water at a public spigot .,Dogs drink from a public city supplied water supply .,entailment,1,1
"A white-haired man reclines in a seat pad on a boat 's deck , reading a book .","a man reclines in a seat on a boat , reading .",entailment,1,1
A street filled with people walking and riding bikes .,An empty street usually filled with people walking and riding bikes .,contradiction,0,0
A group of men with cowboy hats are watching a rodeo .,There is a rodeo event taking place,entailment,1,1
A shirtless man wearing a black hat and a scarf works on an anvil .,A man works with an anvil .,entailment,1,1
A woman with a beautiful dress and matching umbrella is walking down the street carrying a purse on her arm .,The woman is walking down the street .,entailment,1,1
A little child is looking towards someone while their head is in a painting designed like a bean .,A child looks at someone else .,entailment,1,1
A husky and a black cat nuzzling .,A dog and cat are friendly .,entailment,1,1
"Two men sitting on horses one wearing a cowboy hat , the other in a baseball cap , with a big tree behind them .",The men are practicing riding for a movie they are going to be in .,neutral,2,2
"A man and a woman seated at a table , having drinks and deep in conversation .",A couple are in divorce court .,contradiction,0,0
Two Asian women talking and having drinks at a small round table .,Two ladies are sitting at the bar .,contradiction,0,0
A goalie tries to catch a ball during a soccer game .,a goalie is doing his job as a goalie .,entailment,1,1
"Young boys playing indoor basketball , one team has black and white uniforms , the other has orange and white .",Several friends are playing a game of basketball .,neutral,2,2
Children and adults swim in large pool with red staircase .,Children and adults are standing outside of a gym .,contradiction,0,0
The baby in a blue jean hat and sunglasses looks at the camera while being held .,A baby looks at the camera .,entailment,1,1
A man wearing black clothing is standing at an empty table that has water glasses and papers strewn about .,The man is running for his life .,contradiction,0,0
A boy in red slides down an inflatable ride .,A boy is playing on an inflatable ride .,entailment,1,1
A group of constructions workers lifting a bathtub .,Tall humans working,neutral,2,2
Some young boys ride bikes in the street .,There are girls and boys,contradiction,0,0
The girl is paddling a rusty canoe in the water .,The child is paddling a rusty canoe in the river .,neutral,2,2
A young boy and girl playing baseball in a grassy field .,kids play baseball,entailment,1,1
Two dogs shaking themselves dry on the sand .,Two brown dogs shake themselves dry at the beach .,neutral,2,2
A girl in a child 's swimming pool .,A girl in a small swimming pool .,entailment,1,1
A male construction worker hammers a nail .,A construction worker drives into a nail .,entailment,1,1
A man in a hat is working with golden colored flowers .,"A man in a hat is working with flowers ,",entailment,1,1
"Here is a picture of a bald man with a beard and sunglasses , washing his hands at a spring or waterfall .",There is an elderly man standing outside near water .,entailment,1,1
A man riding a bicycle on pavement with graffiti .,A man is outside,entailment,1,1
A large man in white dances in the middle of a crowd holding a beverage in his hand .,Two girls crowd surf at a rave .,contradiction,0,0
A man is reading a newspaper in a car dealership .,A man is reading a magazine at the hospital .,contradiction,0,0
A man smoking a cigarette is working outside .,A man smokes a cigarette outdoors .,entailment,1,1
"As a referee looks on , a Los Angeles baseball player is falling over the top of a rival player who is just sliding into base .",The people are playing basketball .,contradiction,0,0
A snowboarder in green pants boards down a snowy mountain .,A snowboard rides down the mountain .,entailment,1,1
One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day .,Two small children are unhappy with the opening of their presents .,neutral,2,2
People are walking into a store .,The store is having a grand opening .,neutral,2,2
A little girl in brown is playing with two hula-hoops .,The girl has several toys .,entailment,1,1
"A young girl with blue and pink ribbons in her braids , without a top and a woman with a white t-shirt and a zebra skirt wading in a public water fountain .",A young girl knits a sweater,contradiction,0,0
The boy wearing the blue hooded top is holding a baby goat in his arms .,A boy is holding an animal .,entailment,1,1
Women standing at a podium with a crowd and building in the background .,woman makes a speech,neutral,2,2
A dog runs along the ocean surf .,A cat is running in the waves .,contradiction,0,0
A young girl in a pretty pink and white blouse and shorts is participating in a soccer game with other children .,Kids are playing a soccer game .,entailment,1,1
A person is standing on top of a snow covered mountain .,A person stands on a beach in Hawaii,contradiction,0,0
A balding man wearing a brown jacket with his hands crossed and his head tilted down .,A man wearing a brown jacket with his hands crossed and his head tilted down .,entailment,1,1
A man and a woman hug on a grassy hillside overlooking the countryside in the distance .,The man and woman are at a skating rink .,contradiction,0,0
Two women are riding motorized bicycles through a street .,Women are riding motorized bikes .,entailment,1,1
A street scene of people on scooters .,There are multiple people present .,entailment,1,1
Older man with white hair and a red cap painting the golden gate bridge on the shore with the golden gate bridge in the distance .,A person with a cap,entailment,1,1
A man stands on the sidewalk near a lamp post as well as a pillar forming part of an edifice .,The man is on a ship .,contradiction,0,0
Man and a woman walking on the street,There are at least two people in the picture .,entailment,1,1
Two backpackers look at scenic mountains .,Two guys are carrying things on their back .,entailment,1,1
A black and white dog prepares to catch a Frisbee .,A black and white cat prepares to catch a Frisbee .,contradiction,0,0
"Two older men speak into microphones on a stage , while a projector screen displays a vintage photo of a young man behind them .",Two men are sitting handcuffed in a police station .,contradiction,0,0
A man in a black shirt sits next to an old woman in a pink shirt on a train .,A man is sitting on the train talking to a woman .,entailment,1,1
A race dog numbered six is midair .,A cat is numbered six,contradiction,0,0
"A woman walking a dog on a leash at the beach , trailing behind as a pug follows another unseen woman .",two dogs play off leash,contradiction,0,0
A woman wearing sunglasses holds two newspapers .,A woman wearing sunglasses holds two newspapers as she leaves the minimart and heads home .,neutral,2,2
"There is one person lying in a large , green field .",There is someone running through a forest .,contradiction,0,0
3 women and 2 men waiting by a wall in the park talking,The people were waiting by the wall .,entailment,1,1
An older woman on the computer,Woman learning to use her personal computer .,neutral,2,2
A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement .,The man is holding something up .,entailment,1,1
Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals .,A boy is walking around,contradiction,0,0
A man and woman look like they are having their picture taken in front of a famous building in France .,A man and woman look like they are running .,contradiction,0,0
A man in a white shirt is sitting on a crate .,There is a white shirt .,entailment,1,1
A woman smiling while on a bicycle .,A woman is smiling on her bicycle as cars drive past her .,neutral,2,2
A man in a business suit crosses the street .,A man is walking to a job interview .,neutral,2,2
"Nine women in blue and purple dresses and one man wearing a purple shirt and black pants , clap while a man dressed in black dances .",There are people clapping .,entailment,1,1
A man and woman dance together .,A man and woman dance together to their favorite song .,neutral,2,2
Ski equipment sits alone on a snowy mountain,Some skis are sitting in the snow .,entailment,1,1
A woman in a green blouse and black skirt sitting on a bench in front of an elephant model .,The woman is wading into the water .,contradiction,0,0
A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation .,A man with a microphone is standing in front of a screen .,entailment,1,1
Man in while shirt and blue jeans holding hands while walking with a little girl in a blue dress and yellow hat .,A man and girl walking together,entailment,1,1
A group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders .,The group at the party is outside .,entailment,1,1
A little blond boy throwing a soapy sponge at his moms car .,A small boy throws a sponge at a car .,entailment,1,1
A senior is waiting at the window of a restaurant that serves sandwiches .,A man is looking to order a grilled cheese sandwich .,neutral,2,2
Three motor-cross bike racers in a competition .,Three people are racing bikes .,entailment,1,1
"Several people prepare their stalls that consist of fish , vegetables and fruits for the public eye .",two men sit in a truck,contradiction,0,0
"A man in a green , black , and white spandex sports uniform is riding a bike .",A guy is n't afraid to fall down and spoiled his bright uniform .,contradiction,0,0
A girl is throwing a football on the beach .,A girl is on the beach with friends .,neutral,2,2
There is a street with buildings and one man in black walking on the side of the road .,The buildings are corporate offices .,neutral,2,2
A small child in a coat looks out over the lake of a park in the fall .,A child is looking at the lake .,entailment,1,1
two people playing baseball one running and one throwing a ball .,Two guys playing cards .,contradiction,0,0
"This crib contains a baby , stuffed animals , a box of matches , a cordless drill , a paperback novel , and a blanket .",The baby 's older sibling is very mischevious .,neutral,2,2
A man plays mini-gold on the SportsCenter set while two others observe .,Two goldfish are riding bikes in a giant pile of mashed potatoes .,contradiction,0,0
Man in brown and red checkered button up shirt and blue jeans makes a male and female laugh .,A flight attendant is demonstrating airplane safety but no one is paying attention .,contradiction,0,0
Two young women are standing in the middle of a flower garden with their arms wide open .,Two women are having lunch in a cafeteria .,contradiction,0,0
young female in striped shirt holding baby boy with red striped outfit,Young woman holding baby boy .,entailment,1,1
A maintenance worker walking past a statue .,man driving his car past a statue,contradiction,0,0
A male bartender dressed in all black with his sleeves rolled up to elbow height making a drink in a martini glass .,A tall person in black,neutral,2,2
Children and adults swim in large pool with red staircase .,Children are trying to learn how to swim with their parents in a large pool with a red staircase .,neutral,2,2
A boy is posing next to his scooter .,A boy is next to a scooter .,entailment,1,1
Two black and white dogs looking at a black and white kitten who is sitting on top of a tank with hoses on it .,Some funny animals,neutral,2,2
A group of people are taking a fun train ride .,People ride the train .,entailment,1,1
An older man is walking in a large grassy area with a small plane in the background about to land .,The person is sipping hot chocolate inside a skating rink .,contradiction,0,0
"People mingling in the foreground and background , two of them are walking towards those in the background that are positioned nearby of a building that is overshadowed by a large number of trees , while the two in the foreground are tending to a horse drawn carriage .",Some Amish people are fixing their carriage while other people walk or stand nearby .,neutral,2,2
A female sings and plays into a microphone and a male in green striped shorts plays a hand drum,a woman plays the piano,contradiction,0,0
Two blond people are sitting in a park having a conversation .,Two brunettes are sitting in a park .,contradiction,0,0
Two kids standing beside a snowman .,Two children lie by a pool in summer .,contradiction,0,0
Children are playing a game outside .,Children are not a game,contradiction,0,0
"A caucasian woman in a blue top and black slacks looks off to the side of the camera with a drink in one hand and a amused look upon her face , while a man sits next to her , looking unamused , drink in one hand , straw in the other .",A man and woman are having drinks in a bar .,neutral,2,2
"A blond woman wearing a blue and pink floral tie-front bikini on a beach , readying to put a flagpole in the sand .",A person in a bikini,entailment,1,1
An elderly woman wearing sunglasses stands and looks at something .,Elderly woman peers at an object .,entailment,1,1
"Person with a black helmet and vest , with a white undershirt , riding on a motorcycle on the street .",A man drives his car to the fair .,contradiction,0,0
"A young girl with a white vest , pink sleeves and pink knit hat with flower is looking at the flower blossoms on a tree .",The girl is dressed up for a party .,neutral,2,2
"A young woman seated at a table on what appears to be a backyard deck holds a toddler , giving him a toy or bottle of some sort , while smiling into the camera .",The woman is changing the boy 's diaper .,contradiction,0,0
"Two Asian children , a boy and a girl , the girl looking squarely at the camera and the boy making a face .",the children are taking model pictures,neutral,2,2
A woman runs along a rocky shore .,A woman is being chased near the river .,neutral,2,2
A group of men are searching for something .,A group of men are using flashlights to find something .,neutral,2,2
A man is playing with a baby on a deck .,A man plays with his son .,neutral,2,2
